,tweet,label,casefolding,cleaning,tokenization,tokens_freqdist,stopword_removal,converting,stemming
0,Indonesia sehat bebas Covid! yuk optimis dukung program vaksinasi untuk melawan covid jenis baru juga B117! #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik,1,indonesia sehat bebas covid! yuk optimis dukung program vaksinasi untuk melawan covid jenis baru juga b117! #vaksinasinasional #tetapdirumahaja #vaksinasi #mutasibaru #waspada jangan mudik,indonesia sehat bebas covid yuk optimis dukung program vaksinasi untuk melawan covid jenis baru juga b vaksinasinasional tetapdirumahaja vaksinasi mutasibaru waspada jangan mudik,"['indonesia', 'sehat', 'bebas', 'covid', 'yuk', 'optimis', 'dukung', 'program', 'vaksinasi', 'untuk', 'melawan', 'covid', 'jenis', 'baru', 'juga', 'b', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'jangan', 'mudik']",<FreqDist with 21 samples and 23 outcomes>,"['indonesia', 'sehat', 'bebas', 'covid', 'yuk', 'optimis', 'dukung', 'program', 'vaksinasi', 'melawan', 'covid', 'jenis', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['indonesia', 'sehat', 'bebas', 'covid', 'yuk', 'optimis', 'dukung', 'program', 'vaksinasi', 'melawan', 'covid', 'jenis', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['indonesia', 'sehat', 'bebas', 'covid', 'yuk', 'optimis', 'dukung', 'program', 'vaksinasi', 'lawan', 'covid', 'jenis', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
1,FPI sudah dibubarkan. dimana bukti menujum menuturkan bahwa FPI adalah teroris dan perancang majemuk persoalan #IndonesiaMaju #VaksinasiNasional,0,fpi sudah dibubarkan. dimana bukti menujum menuturkan bahwa fpi adalah teroris dan perancang majemuk persoalan #indonesiamaju #vaksinasinasional,fpi sudah dibubarkan dimana bukti menujum menuturkan bahwa fpi adalah teroris dan perancang majemuk persoalan indonesiamaju vaksinasinasional,"['fpi', 'sudah', 'dibubarkan', 'dimana', 'bukti', 'menujum', 'menuturkan', 'bahwa', 'fpi', 'adalah', 'teroris', 'dan', 'perancang', 'majemuk', 'persoalan', 'indonesiamaju', 'vaksinasinasional']",<FreqDist with 16 samples and 17 outcomes>,"['fpi', 'dibubarkan', 'dimana', 'bukti', 'menujum', 'fpi', 'teroris', 'perancang', 'majemuk', 'indonesiamaju', 'vaksinasinasional']","['fpi', 'dibubarkan', 'dimana', 'bukti', 'menujum', 'fpi', 'teroris', 'perancang', 'majemuk', 'indonesiamaju', 'vaksinasinasional']","['fpi', 'bubar', 'mana', 'bukti', 'nujum', 'fpi', 'teroris', 'ancang', 'majemuk', 'indonesiamaju', 'vaksinasinasional']"
2,Presiden Jokowi berikan instruksi percepat program Vaksinasi #VaksinasiNasional,1,presiden jokowi berikan instruksi percepat program vaksinasi #vaksinasinasional,presiden jokowi berikan instruksi percepat program vaksinasi vaksinasinasional,"['presiden', 'jokowi', 'berikan', 'instruksi', 'percepat', 'program', 'vaksinasi', 'vaksinasinasional']",<FreqDist with 8 samples and 8 outcomes>,"['presiden', 'jokowi', 'instruksi', 'percepat', 'program', 'vaksinasi', 'vaksinasinasional']","['presiden', 'jokowi', 'instruksi', 'percepat', 'program', 'vaksinasi', 'vaksinasinasional']","['presiden', 'jokowi', 'instruksi', 'cepat', 'program', 'vaksinasi', 'vaksinasinasional']"
3,Impor beras dilakukan karena pemerintah ingin kebutuhan rakyat terpenuhi di masa pandemi #Jokowi #VaksinasiNasional,0,impor beras dilakukan karena pemerintah ingin kebutuhan rakyat terpenuhi di masa pandemi #jokowi #vaksinasinasional,impor beras dilakukan karena pemerintah ingin kebutuhan rakyat terpenuhi di masa pandemi jokowi vaksinasinasional,"['impor', 'beras', 'dilakukan', 'karena', 'pemerintah', 'ingin', 'kebutuhan', 'rakyat', 'terpenuhi', 'di', 'masa', 'pandemi', 'jokowi', 'vaksinasinasional']",<FreqDist with 14 samples and 14 outcomes>,"['impor', 'beras', 'pemerintah', 'kebutuhan', 'rakyat', 'terpenuhi', 'pandemi', 'jokowi', 'vaksinasinasional']","['impor', 'beras', 'pemerintah', 'kebutuhan', 'rakyat', 'terpenuhi', 'pandemi', 'jokowi', 'vaksinasinasional']","['impor', 'beras', 'perintah', 'butuh', 'rakyat', 'penuh', 'pandemi', 'jokowi', 'vaksinasinasional']"
4,Banker frontliners tapi masih belum dapat vaksin lg 🥲 #COVID19 #COVIDSecondWave #lockdown2021 #VaksinasiCovid19 #VaksinasiNasional,0,banker frontliners tapi masih belum dapat vaksin lg 🥲 #covid19 #covidsecondwave #lockdown2021 #vaksinasicovid19 #vaksinasinasional,banker frontliners tapi masih belum dapat vaksin lg  covid covidsecondwave lockdown vaksinasicovid vaksinasinasional,"['banker', 'frontliners', 'tapi', 'masih', 'belum', 'dapat', 'vaksin', 'lg', 'covid', 'covidsecondwave', 'lockdown', 'vaksinasicovid', 'vaksinasinasional']",<FreqDist with 13 samples and 13 outcomes>,"['banker', 'frontliners', 'vaksin', 'lg', 'covid', 'covidsecondwave', 'lockdown', 'vaksinasicovid', 'vaksinasinasional']","['bankir', 'frontliners', 'vaksin', 'lagi', 'covid', 'covidsecondwave', 'lockdown', 'vaksinasicovid', 'vaksinasinasional']","['bankir', 'frontliners', 'vaksin', 'lagi', 'covid', 'covidsecondwave', 'lockdown', 'vaksinasicovid', 'vaksinasinasional']"
5,"Teroris Bekasi Condet ISIS dan FPI #VaksinasiNasional #Makassar RT @tribunnews: Apa Itu JAD? Organisasi Teroris Berafiliasi ke ISIS, Telah Sah Dibekukan Pengadilan",0,"teroris bekasi condet isis dan fpi #vaksinasinasional #makassar rt @tribunnews: apa itu jad? organisasi teroris berafiliasi ke isis, telah sah dibekukan pengadilan",teroris bekasi condet isis dan fpi vaksinasinasional makassar rt  apa itu jad organisasi teroris berafiliasi ke isis telah sah dibekukan pengadilan,"['teroris', 'bekasi', 'condet', 'isis', 'dan', 'fpi', 'vaksinasinasional', 'makassar', 'rt', 'apa', 'itu', 'jad', 'organisasi', 'teroris', 'berafiliasi', 'ke', 'isis', 'telah', 'sah', 'dibekukan', 'pengadilan']",<FreqDist with 19 samples and 21 outcomes>,"['teroris', 'bekasi', 'condet', 'isis', 'fpi', 'vaksinasinasional', 'makassar', 'jad', 'organisasi', 'teroris', 'berafiliasi', 'isis', 'sah', 'dibekukan', 'pengadilan']","['teroris', 'bekasi', 'condet', 'isis', 'fpi', 'vaksinasinasional', 'makassar', 'jad', 'organisasi', 'teroris', 'berafiliasi', 'isis', 'sah', 'dibekukan', 'pengadilan']","['teroris', 'bekas', 'condet', 'isis', 'fpi', 'vaksinasinasional', 'makassar', 'jad', 'organisasi', 'teroris', 'afiliasi', 'isis', 'sah', 'beku', 'adil']"
6,Ketua DMI : Masjid Bakal Menjadi Tempat Vaksinasi Covid-19 Bulan Depan #VaksinasiNasional,1,ketua dmi : masjid bakal menjadi tempat vaksinasi covid-19 bulan depan #vaksinasinasional,ketua dmi  masjid bakal menjadi tempat vaksinasi covid bulan depan vaksinasinasional,"['ketua', 'dmi', 'masjid', 'bakal', 'menjadi', 'tempat', 'vaksinasi', 'covid', 'bulan', 'depan', 'vaksinasinasional']",<FreqDist with 11 samples and 11 outcomes>,"['ketua', 'dmi', 'masjid', 'vaksinasi', 'covid', 'vaksinasinasional']","['ketua', 'dmi', 'masjid', 'vaksinasi', 'covid', 'vaksinasinasional']","['ketua', 'dmi', 'masjid', 'vaksinasi', 'covid', 'vaksinasinasional']"
7,"vaksin itu bukan obat, melainkan membuat tubuh kita lebih kuat menghadapi covid19. mari kita dukung vaksinasi Tetap Waspada #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1,"vaksin itu bukan obat, melainkan membuat tubuh kita lebih kuat menghadapi covid19. mari kita dukung vaksinasi tetap waspada #vaksinasinasional #tetapdirumahaja #vaksinasi #mutasibaru #waspada jangan mudik",vaksin itu bukan obat melainkan membuat tubuh kita lebih kuat menghadapi covid mari kita dukung vaksinasi tetap waspada vaksinasinasional tetapdirumahaja vaksinasi mutasibaru waspada jangan mudik,"['vaksin', 'itu', 'bukan', 'obat', 'melainkan', 'membuat', 'tubuh', 'kita', 'lebih', 'kuat', 'menghadapi', 'covid', 'mari', 'kita', 'dukung', 'vaksinasi', 'tetap', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'jangan', 'mudik']",<FreqDist with 22 samples and 25 outcomes>,"['vaksin', 'obat', 'tubuh', 'kuat', 'menghadapi', 'covid', 'mari', 'dukung', 'vaksinasi', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['vaksin', 'obat', 'tubuh', 'kuat', 'menghadapi', 'covid', 'mari', 'dukung', 'vaksinasi', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['vaksin', 'obat', 'tubuh', 'kuat', 'hadap', 'covid', 'mari', 'dukung', 'vaksinasi', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
8,Udah siap disuntik ulang vaksin lagi ? #VaksinasiNasional,1,udah siap disuntik ulang vaksin lagi ? #vaksinasinasional,udah siap disuntik ulang vaksin lagi  vaksinasinasional,"['udah', 'siap', 'disuntik', 'ulang', 'vaksin', 'lagi', 'vaksinasinasional']",<FreqDist with 7 samples and 7 outcomes>,"['udah', 'disuntik', 'ulang', 'vaksin', 'vaksinasinasional']","['sudah', 'disuntik', 'ulang', 'vaksin', 'vaksinasinasional']","['sudah', 'suntik', 'ulang', 'vaksin', 'vaksinasinasional']"
9,"FPI telah dibubarkan, dimana fakta telah menyebutkan bahwa FPI merupakan teroris dan dalang berbagai permasalahan #IndonesiaMaju #VaksinasiNasional",0,"fpi telah dibubarkan, dimana fakta telah menyebutkan bahwa fpi merupakan teroris dan dalang berbagai permasalahan #indonesiamaju #vaksinasinasional",fpi telah dibubarkan dimana fakta telah menyebutkan bahwa fpi merupakan teroris dan dalang berbagai permasalahan indonesiamaju vaksinasinasional,"['fpi', 'telah', 'dibubarkan', 'dimana', 'fakta', 'telah', 'menyebutkan', 'bahwa', 'fpi', 'merupakan', 'teroris', 'dan', 'dalang', 'berbagai', 'permasalahan', 'indonesiamaju', 'vaksinasinasional']",<FreqDist with 15 samples and 17 outcomes>,"['fpi', 'dibubarkan', 'dimana', 'fakta', 'fpi', 'teroris', 'dalang', 'permasalahan', 'indonesiamaju', 'vaksinasinasional']","['fpi', 'dibubarkan', 'dimana', 'fakta', 'fpi', 'teroris', 'dalang', 'permasalahan', 'indonesiamaju', 'vaksinasinasional']","['fpi', 'bubar', 'mana', 'fakta', 'fpi', 'teroris', 'dalang', 'masalah', 'indonesiamaju', 'vaksinasinasional']"
