term,rank
vaksin,10.999670429435469
covid,10.40232324958987
vaksinasi,9.217312237721986
indonesia,7.892753568751093
dukung,5.63287967053204
vaksincovid,5.106947011431165
program,5.0597914070682135
sehat,4.638735152202331
jokowi,4.473053055145744
cepat,4.017272651599728
perintah,3.970326442897311
ayo,3.670403416815272
waspada,3.63505648494436
protokol,3.53992469160448
masyarakat,3.48862106903906
lansia,3.4253205100531687
corona,3.415803049669799
sentra,3.3596959018683683
nasional,3.324428605541599
jaga,3.0926641676397146
bumnuntuknegeri,3.072971803453892
mari,3.0538523139565923
sebar,3.0184328117824846
guru,3.0109982420275787
sukses,2.977578221880943
aman,2.8915425920745044
pandemi,2.8761051433095544
astrazeneca,2.85546125986395
bumn,2.843815212561886
sudah,2.811842271151009
laksana,2.798483211559103
disiplin,2.7722500676667408
prokes,2.7549896420889612
mudik,2.7356344902437124
virus,2.6691353862880307
puasa,2.638773036499499
tidak,2.603844984933347
who,2.569610603884996
indonesiamaju,2.5686263343348714
jalan,2.5348916960045456
presiden,2.4854910317465295
tangan,2.4743345051244567
vaksinasicovid,2.4389208559068445
fpi,2.4238221160989117
terima,2.361550609526959
terap,2.3249194947060237
mutasibaru,2.314429080374428
tetapdirumahaja,2.314429080374428
tahap,2.2938297570993162
ritam,2.277455268996873
ramadhan,2.2708015189862305
gotong,2.2691512069066957
royong,2.2691512069066957
vaksinuntukkita,2.2323066507480527
juta,2.2258527707172293
keluarga,2.1406196086356255
coronavirus,2.1348189691075885
lupa,2.1110257891614
rmid,2.102786995227417
rakyatmerdeka,2.102786995227417
suntik,2.0972479524812235
dampak,2.0896037563754546
vaksinuntuksemuabangsa,2.082470349317849
vaksinuntukindonesia,2.0407788866041923
buka,2.00119709717107
daftar,1.9700399662414723
upaya,1.9564785772471742
patuh,1.9526027083368724
tunggu,1.9320876796049413
ribu,1.9243593041288678
impor,1.9119825103628485
ragu,1.8989367495961191
positif,1.844884735572105
bukti,1.8263595247519344
apresiasi,1.815329246553665
tugas,1.8147789934746528
rakyat,1.8034507983882373
keren,1.7983595877870966
bpom,1.763953287477275
bentuk,1.7591820243329994
nusantara,1.7259900897627272
didik,1.7113139734335363
teroris,1.710267007153905
palsu,1.7032315968168135
holopiscom,1.6725957449338882
tahun,1.6707339631143694
halal,1.6695831415931326
dosis,1.6493375626996711
tingkat,1.6151815489901933
ribut,1.6120939689838258
ikut,1.5922226192458397
awan,1.5812598595488472
jam,1.5776393147396646
baik,1.561643089178347
takut,1.5507858795951597
target,1.5191493996768952
anak,1.5094434996913604
sinovac,1.5073299399404467
tubuh,1.483850482200201
indonesiakita,1.4418988518116587
polri,1.405740425055201
efek,1.399996848241901
banget,1.3945177782555294
yuk,1.3932403096357555
buah,1.3848545124152483
pulih,1.3719969112770631
merdeka,1.3512346740197307
koran,1.3512346740197307
ajar,1.3415864828315438
negara,1.3140215818880638
orang,1.3119926633573187
lancar,1.3091049632946152
tenaga,1.3061856125926103
lawan,1.291775793482861
lagi,1.2908663290315143
butuh,1.2848859962753445
newnormal,1.265947656812375
siap,1.2633874691755618
jerat,1.2564074279093984
rizieq,1.2564074279093984
karantina,1.2564074279093984
shihab,1.2564074279093984
tatap,1.2529971791765013
muka,1.2529971791765013
putus,1.251646305024689
