label,tweet
1,"['vaksin', 'rakyat', 'indonesia', 'mari', 'awas', 'dukung', 'program', 'vaksinasi', 'indonesia', 'sehat', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
0,"['vaksin', 'astrazeneca', 'rekomendasi', 'bpom', 'proses', 'kaji', 'susul', 'kait', 'isu', 'aman', 'vaksin', 'tangguh', 'negara', 'kepala', 'bpom', 'penny', 'lukito', 'vaksinasinasional']"
1,"['didik', 'kemenag', 'jombang', 'vaksinasi', 'jelang', 'ajar', 'tatap', 'muka', 'kemenagjombang', 'kemenag', 'jombang', 'jawatimur', 'jurnaljatim', 'beritaonline', 'beritaterkini', 'vaksinasinasional', 'madrasah', 'gurumadrasah', 'tenagapendidik', 'belajartatapmuka', 'ptm']"
0,"['titer', 'antibodi', 'efektifitas', 'acu', 'beda', 'lantang', 'dapat', 'televisi', 'nasional', 'warga', 'indonesia', 'informasi', 'paham', 'acu', 'ancam', 'sukses', 'vaksinasinasional']"
0,"['vonis', 'mati', 'bpom', 'vaksin', 'nusantara', 'jalan', 'puluh', 'antre', 'eks', 'menteri', 'sudi', 'silalahi', 'vaksinnusantara', 'bpomvonismativaksinnusantara', 'bpom', 'awan', 'sudisilalahi', 'vaksinasinasional']"
1,"['ayo', 'dukung', 'program', 'vaksinasi', 'cepat', 'tangan', 'covid', 'vaksinasinasional']"
1,"['vaksin', 'vaksincovid', 'vaksinasinasional', 'vaksinuntuksemuabangsa']"
0,"['bijak', 'impor', 'beras', 'penuh', 'butuh', 'masyarakat', 'akibat', 'pandemi', 'covid', 'tuduh', 'jokowi', 'vaksinasinasional']"
0,"['kuota', 'habis', 'vaksinasi', 'dagang', 'bsd', 'junction', 'ricuh', 'vaksinasinasional', 'ricuh']"
0,"['kandung', 'tripsin', 'babi', 'mui', 'vaksin', 'astrazeneca', 'haram', 'pakai', 'vaksinasi', 'corona', 'babi', 'tripsinbabi', 'enzim', 'mui', 'vaksin', 'vaksincovid', 'haram', 'vaksinasinasional', 'vaksinasicorona']"
1,"['laksana', 'haji', 'buka', 'tahun', 'perintah', 'arab', 'saudi', 'calon', 'haji', 'wajib', 'vaksinasi', 'vaksinasinasional', 'vaksinsuksesakhiripandemi']"
1,"['ragu', 'vaksin', 'covid', 'vaksinasinasional']"
1,"['duta', 'jerman', 'indonesia', 'peter', 'schoof', 'girang', 'vaksin', 'astrazeneca', 'tanah', 'air', 'vaksin', 'vaksinasinasional', 'astrazeneca', 'internasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
1,"['sinergi', 'indonesia', 'kuat', 'vaksinasinasional', 'vaksinuntuksemuabangsa']"
0,"['alhamdulillah', 'jaya', 'daftar', 'sulit', 'boleh', 'pilih', 'lepas', 'catat', 'slot', 'penuh', 'sekarang', 'bingung', 'sudah', 'jaya', 'daftar', 'atau', 'dalam', 'daftar', 'tunggu', 'jauhhhhhh', 'mau', 'spice', 'arena', 'vaksin', 'vaksinasinasional']"
1,"['abai', 'prokes', 'vaksin', 'covid', 'ledak', 'kayak', 'india', 'memang', 'satgascovid', 'india', 'protokolkesehatan', 'nasional', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'rakyatmerdeka', 'rmid']"
1,"['ribu', 'vaksinasi', 'indonesia', 'vaksinasinasional']"
0,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'tuju', 'vaksin', 'nusantara', 'covid', 'tekan', 'radikalisme', 'darah', 'tingkat', 'toleransi', 'tenggang', 'semangat', 'satu', 'pompa', 'nasionalisme', 'landas', 'pancasila', 'uud', 'cipta', 'masyarakat', 'hadap', 'globalisasi']"
1,"['tahun', 'indonesia', 'vaksinasi', 'antigen', 'nasional', 'vaksinasinasional']"
1,"['waspada', 'corona', 'tipe', 'mari', 'jaga', 'sehat', 'dukung', 'prokes', 'dukung', 'program', 'vaksintetap', 'waspada', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
0,"['daerah', 'maksimal', 'program', 'vaksinasi', 'vaksincovid', 'vaksinasinasional', 'freehabibrizieqshihab', 'exotargetedteaser', 'ikatancintaep']"
1,"['vaksin', 'selamat', 'keluarga', 'vaksinasinasional']"
0,"['akal', 'bulus', 'cium', 'banget', 'sudah', 'hadir', 'sidang', 'tuju', 'kumpulin', 'ikut', 'jokowi', 'vaksinasinasional']"
1,"['koran', 'rakyat', 'merdeka', 'halal', 'haram', 'diributin', 'urus', 'mui', 'vaksin', 'pake', 'astrazeneca', 'marufamin', 'vaksin', 'mui', 'vaksinasi', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
1,"['sobatparekraf', 'pagi', 'presiden', 'joko', 'widodo', 'tolak', 'provinsi', 'bal', 'rangka', 'kunjung', 'wonderfulindonesia', 'ekonomikreatif', 'vaksinasinasional', 'bangkitbersamakemenparekraf']"
1,"['dukung', 'vaksin', 'indonesia', 'pulih', 'pandemi', 'ayovaksintetapm', 'vaksin', 'vaksinasinasional', 'indonesiasehat', 'indonesia']"
0,"['fpi', 'telah', 'dibubarin', 'fakta', 'telah', 'bahwa', 'fpi', 'merupkn', 'teroris', 'dan', 'dalang', 'bagai', 'masala', 'indonesiamaju', 'vaksinasinasional']"
1,"['kru', 'tv', 'kru', 'film', 'dahulu', 'vaksinpulihkannegeri', 'vaksinasinasional', 'vaksinmembawadampakbaik', 'vaksincovid']"
1,"['semarang', 'panglima', 'tni', 'kapolri', 'lanjut', 'serbu', 'vaksinasi', 'surabaya', 'tni', 'polri', 'vaksinasinasional', 'vaksincovid', 'holopiscom']"
0,"['kadiskes', 'bandar', 'lampung', 'edwin', 'rusli', 'terima', 'data', 'guru', 'sma', 'derajat', 'vaksin', 'vaksin', 'vaksinasinasional', 'guru']"
0,"['hobi', 'banget', 'kabur', 'panutan', 'bib', 'jokowi', 'vaksinasinasional']"
1,"['terima', 'vaksin', 'gotong', 'royong', 'pungut', 'biaya', 'tanggung', 'usaha', 'vaksinasinasional']"
1,"['ayo', 'terap', 'prokes', 'program', 'vaksinasi', 'vaksinasinasional']"
1,"['hasil', 'kembang', 'vaksin', 'merah', 'putih', 'vaksin', 'nusantara', 'bukti', 'indonesia', 'mandiri', 'farmasi', 'vaksinasinasional']"
1,"['laksana', 'vaksinasi', 'cepat', 'putus', 'rantai', 'tular', 'covid', 'vaksinasinasional']"
0,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'wakil', 'ketua', 'komisi', 'ix', 'bpom', 'bohong', 'publik']"
1,"['who', 'apresiasi', 'pimpin', 'indonesia', 'dorong', 'tara', 'akses', 'vaksin', 'covid', 'vaksinasinasional']"
1,"['gubernur', 'papua', 'barat', 'ajak', 'masyarakat', 'dukung', 'program', 'vaksinasi', 'nasional', 'putus', 'rantai', 'sebar', 'covid', 'papua', 'barat', 'sehat', 'bebas', 'covid', 'indonesia', 'papuabarat', 'lawancovid', 'vaksinasinasional', 'dominggusmandacan', 'manokwari']"
1,"['tugas', 'vaksin', 'target', 'vaksin', 'vaksinasinasional']"
1,"['aman', 'halal', 'vaksinasinasional']"
1,"['tokoh', 'lintas', 'agama', 'utama', 'presiden', 'indonesia', 'joko', 'widodo', 'aktifitasnya', 'rangka', 'agama', 'jalan', 'jokowi', 'vaksinasinasional']"
0,"['sinyal', 'cinta', 'pagi', 'hujan', 'lebat', 'waspadateroris', 'vaksinasinasional', 'polisi', 'temu', 'baju', 'fpi', 'duga', 'teroris', 'bekas', 'condet']"
1,"['yakali', 'tidak', 'vaksinasi', 'kamu', 'orang', 'kamu', 'sudah', 'kasih', 'sentra', 'vaksin', 'bumn', 'tidak', 'ribet', 'vaksinasinasional', 'bumnuntuknegeri']"
0,"['banker', 'frontliners', 'vaksin', 'lagi', 'covid', 'covidsecondwave', 'lockdown', 'vaksinasicovid', 'vaksinasinasional']"
1,"['bravo', 'polri', 'polri', 'sim', 'online', 'digitalisasi', 'indonesia', 'vaksinasinasional', 'aplikasi', 'sim', 'online', 'panjang', 'antar', 'panjang', 'sim', 'layan', 'sim', 'sim', 'terbit', 'antar', 'antar', 'alamat', 'mohon', 'jasa', 'kirim', 'ditlantas', 'polda', 'jatim']"
1,"['presiden', 'jokowi', 'instruksi', 'cepat', 'program', 'vaksinasi', 'vaksinasinasional']"
1,"['juta', 'dosis', 'vaksinasinasional', 'sunti', 'masyarakat', 'indonesia']"
1,"['epidemiolog', 'menghimbau', 'masyarakat', 'panik', 'kait', 'isu', 'vaksin', 'astrazeneca', 'vaksinasinasional']"
0,"['koran', 'rakyat', 'merdeka', 'ungkap', 'menkes', 'rebut', 'vaksin', 'covid', 'negara', 'kian', 'sengit', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'governmentaction', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
1,"['koran', 'rakyat', 'merdeka', 'temu', 'komnas', 'kipi', 'mati', 'pasca', 'suntik', 'vaksinasi', 'masyarakat', 'tenang', 'vaksin', 'vaksincovid', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'rakyatmerdeka', 'rmid']"
