tweet,label
Indonesia sehat bebas Covid! yuk optimis dukung program vaksinasi untuk melawan covid jenis baru juga B117! #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik,1
FPI sudah dibubarkan. dimana bukti menujum menuturkan bahwa FPI adalah teroris dan perancang majemuk persoalan #IndonesiaMaju #VaksinasiNasional,0
Presiden Jokowi berikan instruksi percepat program Vaksinasi #VaksinasiNasional,1
Impor beras dilakukan karena pemerintah ingin kebutuhan rakyat terpenuhi di masa pandemi #Jokowi #VaksinasiNasional,0
Banker frontliners tapi masih belum dapat vaksin lg 🥲 #COVID19 #COVIDSecondWave #lockdown2021 #VaksinasiCovid19 #VaksinasiNasional,0
"Teroris Bekasi Condet ISIS dan FPI #VaksinasiNasional #Makassar RT @tribunnews: Apa Itu JAD? Organisasi Teroris Berafiliasi ke ISIS, Telah Sah Dibekukan Pengadilan",0
Ketua DMI : Masjid Bakal Menjadi Tempat Vaksinasi Covid-19 Bulan Depan #VaksinasiNasional,1
"vaksin itu bukan obat, melainkan membuat tubuh kita lebih kuat menghadapi covid19. mari kita dukung vaksinasi Tetap Waspada #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1
Udah siap disuntik ulang vaksin lagi ? #VaksinasiNasional,1
"FPI telah dibubarkan, dimana fakta telah menyebutkan bahwa FPI merupakan teroris dan dalang berbagai permasalahan #IndonesiaMaju #VaksinasiNasional",0
Sasaran vaksin untuk Lansia #VaksinasiNasional #dokkesPolri,1
Diperlukan sanksi yang tegas agar meningkatkan kepatuhan masyarakat dalam menerapkan protokol kesehatan. #VaksinasiNasional,1
"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @tirta_hudhi: Stelah vaksin nusantara terhambat, mulai ada issue menyalahkan @PBIDI Padahal fyi 1. Idi organisasi profesi, tidak bisa intervensi penelitian 2. Yang bisa dilakukan idi, adalah mencabut lisensi (itu juga ada sidangnya MKEK) 3. Yg menentukn vaksin , obat beredar adalah BPOM",0
"Tahniah kepada batch pertama Program Vaksinasi AZ, terima kasih kerana cukup berani untuk memberi inspirasi kepada masyarakat. #VaksinasiNasional #AstraZeneca",1
Sukseskan #VaksinasiNasional,1
"Ramai-ramai Disuntik Vaksin Nusantara Charles Honoris: Tak Ada Kesepakatan Kolektif Di Komisi IX, Itu Maunya Sendiri-sendiri @DPR_RI #Vaksin #VaksinasiNasional #Vaksinasi #DPR #Corona #coronavirus #COVID19 #Covid_19 #COVID #RakyatMerdeka #RMid",0
