tweet,label
"""Ada penurunan kasus aktif setelah vaksinasi. Tidak hanya di Kota Tegal, tapi di Indonesia juga turun angkanya,"" kata Kepala Dinas Kesehatan Kota Tegal Sri Primawati Indraswari, Senin (15/2). #VaksinasiNasional #dinaskesehatan #kotategal",1
"""Dua malam lalu saya baru melaksanakan persetujuan dengan Menteri Kesehatan (Budi Gunadi Sadikin) bahwa mulai bulan depan vaksin akan diadakan di masjid,"" kata Ketua Dewan Masjid Indonesia (DMI) Jusuf Kalla #VaksinasiNasional",1
"""INI yang diberikan prioritas terlebih dahulu"", tegas Presiden RI Joko Widodo usai tinjau vaksal (vaksinasi massal) utk kalangan perbankan dan pasar modal di Ged. Bursa Efek Indonesia, Jakarta, 31 Mar 2021. #jokowi @jokowi #VaksinasiNasional",1
"""Kami WHO mengatakan pd tahap ini kami tdk ingin melihat paspor vaksinasi sebagai persyaratan masuk atau keluar karena kami tidak yakin tahap ini bahwa vaksin tersebut dapat mencegah penularan,"" Margaret Harris, Juru Bicara WHO #VaksinasiNasional",1
"""MUI Keluarkan Fatwa bahwa Vaksinasi Tak Batalkan Puasa"" Wakil Presiden KH. Ma'ruf Amin memastikan kembali vaksinasi Covid-19 yang dilaksanakan bulan Ramadhan tidak akan membatalkan puasa. Saya Siaaap Divaksin! Indonesia Bebas Covid-19.. Aamiin #VaksinasiNasional",1
"""Peran Kaum Milenial Dalam Mensukseskan Program Vaksinasi Covid-19"" Simak pembahasannya bersama Aktivis Kesehatan & Relawan Covid 19 dr. @zulfikarumar, Rabu, 14 April 2021, pkl 08.00-08.30 WIB. @KawalCOVID19 #VaksinasiNasional",1
"""Peran Kaum Milenial Dalam Mensukseskan Program Vaksinasi Covid-19"" Simak pembahasannya bersama Aktivis Kesehatan & Relawan Covid 19 dr. Zulfikar Umar, Rabu, 14 April 2021, pkl 08.00-08.30 WIB. @KawalCOVID19 #VaksinasiNasional",1
"""Praktek vaksinasi Covid-19 dibolehkan secara syar'i sekalipun sedang puasa"" - MUI #MUI #Vaksin #VaksinasiNasional #Vaksincovid #COVID19 #COVIDIndonesia #Puasa #puasa2021 #Ramadhan #ramadhan2021 #BeritaTerkini #TVRI #TVRINews",1
"""Selamat Hari Kesehatan Dunia"" WHO melalui laman resminya mengundang kita untuk turut serta bergabung dalam kampanye baru untuk membangun dunia yang lebih adil dan lebih sehat. #kotabekasi #HariKesehatanSedunia #Diskominfostandi #protokolkesehatan #VaksinasiNasional",1
"""SEMUA nantinya bisa terlindungi dan tidak terpapar oleh Covid, sehingga bisa beraktivitas seperti biasa"", harap Presiden RI Joko Widodo yang menyaksikan proses vaksinasi dan beramahtamah dengan mereka. #jokowi @jokowi #VaksinasiNasional #vaksinuntukkita",1
